astecid,date,cusip,isin,tradingsymbol,utilizationpercentunits,availableunits,availablemarketvalueusd
100258,2016-04-25,037833100,US0378331005,AAPL,0.12,507364823.0,53623561294.3072
100258,2016-04-26,037833100,US0378331005,AAPL,0.11,507525317.0,53299487919.9834
100258,2016-04-27,037833100,US0378331005,AAPL,0.11,504574958.0,52195798877.1581
100258,2016-04-28,037833100,US0378331005,AAPL,0.09,502733830.0,49185147703.2701
100258,2016-04-29,037833100,US0378331005,AAPL,0.05,500583951.0,47495610279.5358
100258,2016-05-02,037833100,US0378331005,AAPL,0.14,504282584.0,47305946130.4076
100258,2016-05-03,037833100,US0378331005,AAPL,0.02,501743920.0,47107148132.1028
100258,2016-05-04,037833100,US0378331005,AAPL,0.03,505629631.0,47990055997.2686
100258,2016-05-05,037833100,US0378331005,AAPL,0.01,506413379.0,47660159874.4348
100258,2016-05-06,037833100,US0378331005,AAPL,0.12,510316580.0,47575019125.5079
100258,2016-05-09,037833100,US0378331005,AAPL,0.89,511805458.0,47479664962.4784
100258,2016-05-10,037833100,US0378331005,AAPL,0.12,513242292.0,47708759461.2118
100258,2016-05-11,037833100,US0378331005,AAPL,0.11,513127980.0,47877149786.1604
100258,2016-05-12,037833100,US0378331005,AAPL,0.11,512751005.0,47480629074.0232
100258,2016-05-13,037833100,US0378331005,AAPL,0.11,511166508.0,46315404917.9711
100258,2016-05-16,037833100,US0378331005,AAPL,0.13,509767742.0,46432356338.0638
100258,2016-05-17,037833100,US0378331005,AAPL,0.14,509008138.0,47654801734.106
100258,2016-05-18,037833100,US0378331005,AAPL,0.06,509097518.0,47711241495.5816
100258,2016-05-19,037833100,US0378331005,AAPL,0.11,510664625.0,48244886266.1517
100258,2016-05-20,037833100,US0378331005,AAPL,0.11,505274474.0,47685980209.1385
100258,2016-05-23,037833100,US0378331005,AAPL,0.21,509423556.0,48568489502.2429
100258,2016-05-24,037833100,US0378331005,AAPL,0.18,508141282.0,49070287228.3383
100258,2016-05-25,037833100,US0378331005,AAPL,0.23,507607978.0,49770276104.5132
100258,2016-05-26,037833100,US0378331005,AAPL,0.17,501405049.0,49938877361.2836
100258,2016-05-27,037833100,US0378331005,AAPL,0.17,501012589.0,50273304424.6908
100258,2016-05-30,037833100,US0378331005,AAPL,0.17,500830464.0,50260493984.0628
100258,2016-05-31,037833100,US0378331005,AAPL,4.16,497539626.0,49894615174.4565
100258,2016-06-01,037833100,US0378331005,AAPL,3.12,497617914.0,49612681937.1804
100258,2016-06-02,037833100,US0378331005,AAPL,2.06,497387480.0,48975642561.9069
100258,2016-06-03,037833100,US0378331005,AAPL,1.96,497438591.0,48652736083.3408
100258,2016-06-06,037833100,US0378331005,AAPL,1.67,499769793.0,48983355537.6628
100258,2016-06-07,037833100,US0378331005,AAPL,1.42,499396208.0,49260101082.1541
100258,2016-06-08,037833100,US0378331005,AAPL,1.22,498508143.0,49346475827.0763
100258,2016-06-09,037833100,US0378331005,AAPL,1.19,498642774.0,49392486954.8864
100258,2016-06-10,037833100,US0378331005,AAPL,1.16,498959494.0,49636912119.8532
100258,2016-06-13,037833100,US0378331005,AAPL,1.22,499450491.0,49284265274.7996
100258,2016-06-14,037833100,US0378331005,AAPL,1.23,499371496.0,48677084255.862
100258,2016-06-15,037833100,US0378331005,AAPL,1.58,498746314.0,48594463707.5979
100258,2016-06-16,037833100,US0378331005,AAPL,1.34,498756909.0,48487200203.4326
